ml_score,tilt,distance,label
0.00026485,3.649282013,0,LOW
0.24963985,2.670098114,0,LOW
0.6887674,1.140562055,0,MED
0.6055987,0.291923843,0,MED
0.004622336,0.387845695,0,LOW
0.004704517,0.087773994,0,LOW
0.054437373,1.501648606,0,LOW
0.057807,1.943534651,0,LOW
0.74034965,1.357536176,0,MED
0.03294544,1.580120341,0,LOW
0.1532783,2.498593461,0,LOW
0.002025788,2.091803735,0,LOW
7.59E-07,2.919047079,0,LOW
0.038638227,2.801023435,0,LOW
9.12E-08,3.920784879,0,LOW
5.52E-08,4.065773182,0,LOW
6.71E-09,4.072693695,0,LOW
1.44E-08,1.326954881,0,LOW
9.40E-08,0.98937064,0,LOW
7.79E-09,2.832376277,0,LOW
5.46E-08,1.106166948,0,LOW
9.96E-08,1.430123034,0,LOW
1.24E-06,1.261771758,0,LOW
4.05E-11,2.099512196,0,LOW
5.70E-05,3.511224166,0,LOW
0.011487973,5.829251539,0,LOW
0.00247661,8.410175974,0,LOW
0.006396546,11.02878193,0,LOW
0.000734599,13.13858461,0,LOW
0.001676368,15.87637314,0,LOW
0.947628,18.51172212,0,HIGH
0.9538345,19.6531327,0,HIGH
0.9972237,20.58005607,0,HIGH
0.73559916,21.85792698,0,MED
0.9612147,22.81221839,0,HIGH
0.6222416,23.62829813,0,MED
0.92756695,25.81401246,0,HIGH
0.9624705,25.62865917,0,HIGH
0.97434926,26.92898731,0,HIGH
0.9839722,27.42651592,0,HIGH
0.93335193,27.74345359,0,HIGH
0.99469244,27.92985662,0,HIGH
0.74240357,27.89659605,0,MED
0.9898412,26.89217939,0,HIGH
0.9999886,25.46803768,0,HIGH
0.9940669,21.30419172,0,HIGH
0.62235785,15.70876771,0,MED
0.3056863,9.926581733,0,LOW
0.047279485,4.079031005,0,LOW
0.00180711,2.117614413,0,LOW
0.068658106,1.117787584,0,LOW
0.56906235,0.763399414,0,MED
0.00011261,0.420543411,0,LOW
2.29E-05,0.557375019,0,LOW
1.12E-05,0.304804269,0,LOW
5.76E-06,0.683558801,0,LOW
0.000808523,1.217969678,0,LOW
9.94E-07,0.994142125,0,LOW
6.83E-06,1.426074914,0,LOW
4.21E-05,1.645963965,0,LOW
4.93E-06,1.560559948,0,LOW
0.000271917,1.599747702,0,LOW
3.45E-05,1.100749056,0,LOW
4.09E-06,1.174950055,0,LOW
2.54E-06,2.773388147,0,LOW
7.65E-09,5.746452483,0,LOW
2.29E-08,5.892304048,0,LOW
5.76E-10,5.756386628,0,LOW
1.07E-08,5.795257473,0,LOW
4.94E-10,5.545458583,0,LOW
3.35E-08,5.721099289,0,LOW
4.26E-06,5.599735251,0,LOW
5.43E-08,5.877201611,0,LOW
4.80E-06,7.86489602,0,LOW
5.52E-05,9.090506883,0,LOW
1.03E-07,11.18093937,0,LOW
5.22E-06,14.7521602,0,LOW
9.39E-06,18.24672889,0,LOW
0.005175136,17.11400271,0,LOW
0.000445997,20.55435765,0,LOW
0.00010852,21.37261898,0,LOW
